EventID,EventName,StartDate,EndDate,Location,MemberId
1,Fan Meet-Up,2023-02-23 17:00:00,2023-02-23 21:00:00,"Mexico City, Mexico",2
2,Concert,2024-10-01 18:00:00,2024-10-01 19:00:00,"Mexico City, Mexico",3
3,Concert,2024-07-13 16:00:00,2024-07-13 20:00:00,"Buenos Aires, Argentina",2
4,Tour,2023-03-29 11:00:00,2023-03-29 15:00:00,"Mexico City, Mexico",5
5,Concert,2022-07-24 04:00:00,2022-07-24 06:00:00,"Chongqing, China",1
6,Tour,2023-07-19 10:00:00,2023-07-19 13:00:00,"Manila, Philippines",1
7,Fan Meet-Up,2022-05-08 15:00:00,2022-05-08 18:00:00,"Lagos, Nigeria",1
8,Tour,2023-01-11 06:00:00,2023-01-11 10:00:00,"Rio de Janeiro, Brazil",2
9,Merch Sale Event,2022-08-01 02:00:00,2022-08-01 04:00:00,"Kolkata, India",5
10,Concert,2024-08-28 01:00:00,2024-08-28 04:00:00,"Tianjin, China",5
11,Merch Sale Event,2023-04-19 02:00:00,2023-04-19 03:00:00,"Dhaka, Bangladesh",4
12,Reality Show,2024-04-09 06:00:00,2024-04-09 09:00:00,"Karachi, Pakistan",2
13,Tour,2023-06-20 20:00:00,2023-06-21 00:00:00,"Buenos Aires, Argentina",2
14,Concert,2022-05-07 16:00:00,2022-05-07 19:00:00,"Beijing, China",4
15,Concert,2023-02-28 03:00:00,2023-02-28 04:00:00,"Mumbai, India",1
16,Tour,2024-01-24 14:00:00,2024-01-24 16:00:00,"Tianjin, China",4
17,Concert,2022-01-28 08:00:00,2022-01-28 09:00:00,"São Paulo, Brazil",4
18,Tour,2022-12-23 00:00:00,2022-12-23 01:00:00,"Tianjin, China",5
19,Concert,2023-06-26 22:00:00,2023-06-27 00:00:00,"Delhi, India",5
20,Tour,2024-08-31 18:00:00,2024-08-31 19:00:00,"Kinshasa, DR Congo",5
21,Concert,2023-05-01 01:00:00,2023-05-01 02:00:00,"Rio de Janeiro, Brazil",5
22,Concert,2024-06-19 16:00:00,2024-06-19 19:00:00,"Buenos Aires, Argentina",4
23,Merch Sale Event,2024-02-02 19:00:00,2024-02-02 21:00:00,"Dhaka, Bangladesh",2
24,Concert,2021-11-26 14:00:00,2021-11-26 17:00:00,"Kolkata, India",4
25,Merch Sale Event,2023-05-29 02:00:00,2023-05-29 04:00:00,"Mexico City, Mexico",2
26,Reality Show,2024-03-23 11:00:00,2024-03-23 15:00:00,"Dhaka, Bangladesh",2
27,Concert,2024-06-18 21:00:00,2024-06-18 23:00:00,"Istanbul, Turkey",2
28,Merch Sale Event,2023-02-10 05:00:00,2023-02-10 08:00:00,"Istanbul, Turkey",2
29,Tour,2024-06-28 01:00:00,2024-06-28 05:00:00,"Cairo, Egypt",4
30,Concert,2023-05-11 23:00:00,2023-05-12 03:00:00,"Rio de Janeiro, Brazil",3
31,Fan Meet-Up,2023-07-26 08:00:00,2023-07-26 11:00:00,"São Paulo, Brazil",5
32,Reality Show,2024-07-29 02:00:00,2024-07-29 03:00:00,"Chongqing, China",3
33,Fan Meet-Up,2022-07-10 00:00:00,2022-07-10 04:00:00,"Osaka, Japan",1
34,Reality Show,2022-06-11 12:00:00,2022-06-11 15:00:00,"Kinshasa, DR Congo",2
35,Tour,2023-09-13 20:00:00,2023-09-13 22:00:00,"Karachi, Pakistan",1
36,Concert,2022-09-25 05:00:00,2022-09-25 08:00:00,"Lagos, Nigeria",4
37,Merch Sale Event,2022-07-23 19:00:00,2022-07-23 20:00:00,"Lagos, Nigeria",4
38,Concert,2022-04-15 15:00:00,2022-04-15 18:00:00,"São Paulo, Brazil",3
39,Reality Show,2024-02-15 01:00:00,2024-02-15 02:00:00,"Rio de Janeiro, Brazil",5
40,Merch Sale Event,2021-12-25 13:00:00,2021-12-25 15:00:00,"Cairo, Egypt",3
41,Tour,2024-10-26 13:00:00,2024-10-26 14:00:00,"Beijing, China",1
42,Concert,2022-01-26 14:00:00,2022-01-26 17:00:00,"Istanbul, Turkey",5
43,Tour,2022-02-02 00:00:00,2022-02-02 01:00:00,"São Paulo, Brazil",3
44,Reality Show,2022-02-26 17:00:00,2022-02-26 19:00:00,"Karachi, Pakistan",3
45,Fan Meet-Up,2022-06-29 23:00:00,2022-06-30 02:00:00,"Kinshasa, DR Congo",2
46,Fan Meet-Up,2022-03-22 08:00:00,2022-03-22 11:00:00,"Shanghai, China",4
47,Merch Sale Event,2024-02-11 12:00:00,2024-02-11 13:00:00,"Manila, Philippines",4
48,Merch Sale Event,2023-07-19 21:00:00,2023-07-20 01:00:00,"Delhi, India",3
49,Concert,2024-07-05 20:00:00,2024-07-05 23:00:00,"Lagos, Nigeria",5
50,Reality Show,2023-08-03 04:00:00,2023-08-03 08:00:00,"Dhaka, Bangladesh",5
51,Concert,2022-04-30 19:00:00,2022-04-30 23:00:00,"Kolkata, India",3
52,Reality Show,2023-01-10 17:00:00,2023-01-10 20:00:00,"Buenos Aires, Argentina",1
53,Merch Sale Event,2022-02-07 19:00:00,2022-02-07 20:00:00,"Manila, Philippines",4
54,Merch Sale Event,2022-03-06 15:00:00,2022-03-06 17:00:00,"Mexico City, Mexico",3
55,Merch Sale Event,2023-12-18 05:00:00,2023-12-18 07:00:00,"Manila, Philippines",3
56,Concert,2023-12-05 02:00:00,2023-12-05 06:00:00,"Chongqing, China",2
57,Merch Sale Event,2022-09-28 12:00:00,2022-09-28 14:00:00,"Mumbai, India",3
58,Reality Show,2023-02-01 20:00:00,2023-02-01 23:00:00,"Mexico City, Mexico",1
59,Concert,2022-02-06 08:00:00,2022-02-06 09:00:00,"Mumbai, India",5
60,Fan Meet-Up,2023-01-23 16:00:00,2023-01-23 19:00:00,"Kolkata, India",1
61,Tour,2022-05-26 10:00:00,2022-05-26 11:00:00,"Chongqing, China",3
62,Tour,2024-04-02 21:00:00,2024-04-03 01:00:00,"Rio de Janeiro, Brazil",4
63,Reality Show,2023-07-13 14:00:00,2023-07-13 17:00:00,"Lagos, Nigeria",4
64,Reality Show,2024-07-15 17:00:00,2024-07-15 18:00:00,"Chongqing, China",1
65,Reality Show,2024-04-02 01:00:00,2024-04-02 03:00:00,"Tokyo, Japan",2
66,Concert,2023-02-13 20:00:00,2023-02-13 22:00:00,"Osaka, Japan",5
67,Tour,2024-02-02 15:00:00,2024-02-02 16:00:00,"Shanghai, China",4
68,Concert,2024-07-11 06:00:00,2024-07-11 09:00:00,"Shanghai, China",5
69,Fan Meet-Up,2024-08-09 07:00:00,2024-08-09 10:00:00,"Osaka, Japan",5
70,Fan Meet-Up,2022-09-16 06:00:00,2022-09-16 07:00:00,"Beijing, China",3
71,Concert,2024-01-11 13:00:00,2024-01-11 14:00:00,"Mexico City, Mexico",1
72,Tour,2022-01-16 18:00:00,2022-01-16 19:00:00,"Beijing, China",1
73,Fan Meet-Up,2023-02-12 16:00:00,2023-02-12 20:00:00,"São Paulo, Brazil",3
74,Fan Meet-Up,2022-11-04 21:00:00,2022-11-05 01:00:00,"Istanbul, Turkey",4
75,Concert,2022-08-06 10:00:00,2022-08-06 11:00:00,"São Paulo, Brazil",1
76,Reality Show,2022-10-10 19:00:00,2022-10-10 22:00:00,"Mexico City, Mexico",5
77,Concert,2024-09-18 08:00:00,2024-09-18 12:00:00,"São Paulo, Brazil",3
78,Fan Meet-Up,2024-04-14 06:00:00,2024-04-14 08:00:00,"Rio de Janeiro, Brazil",1
79,Reality Show,2023-05-30 20:00:00,2023-05-31 00:00:00,"Karachi, Pakistan",5
80,Concert,2021-12-18 05:00:00,2021-12-18 08:00:00,"Mexico City, Mexico",3
81,Merch Sale Event,2024-05-24 02:00:00,2024-05-24 03:00:00,"Tokyo, Japan",4
82,Fan Meet-Up,2024-07-24 01:00:00,2024-07-24 03:00:00,"Osaka, Japan",3
83,Reality Show,2023-02-18 14:00:00,2023-02-18 18:00:00,"Buenos Aires, Argentina",2
84,Concert,2023-01-23 17:00:00,2023-01-23 20:00:00,"Beijing, China",3
85,Tour,2024-07-10 00:00:00,2024-07-10 04:00:00,"Cairo, Egypt",3
86,Merch Sale Event,2023-01-17 16:00:00,2023-01-17 20:00:00,"Shanghai, China",1
87,Merch Sale Event,2023-08-26 00:00:00,2023-08-26 04:00:00,"Tokyo, Japan",4
88,Reality Show,2023-07-03 06:00:00,2023-07-03 07:00:00,"Tianjin, China",3
